actor,sentiment,popularity
Maggie Gyllenhaal,0.0,24.786
Schuyler Fisk,0.0,4.162
Edward Norton,0.0,20.659
Jeff Bridges,0.1468,24.052
Walter Matthau,0.0,8.365
Ed Asner,0.0,12.072
Peter Finch,0.0,2.877
Ted Knight,0.0,6.558
Humphrey Bogart,0.0,13.982
Robert Mitchum,0.0,11.208
Jack Nicholson,0.0,34.426
Bob Hoskins,0.0,7.866
Peta Wilson,-0.7096,9.826
Woody Harrelson,-0.7096,26.449
Christian Bale,-0.6031,25.667
Eddie Murphy,0.0,28.327
Martin Lawrence,0.0,32.089
Bruce Willis,0.0,43.209
Ryan O'Neal,0.0,5.956
Mike White,0.0,7.501
Pierce Brosnan,0.0,52.973
Chow Yun-Fat,0.0,19.994
Billy Connolly,0.0,12.712
James McAvoy,0.0,42.736
Eric Christian Olsen,-0.34,7.235
Anthony Michael Hall,-0.34,16.262
Lance Fenton,-0.34,4.056
Milo Ventimiglia,-0.34,23.875
Chris Carmack,-0.34,8.516
Samantha Morton,0.0,14.637
Dakota Fanning,0.0,58.758
Anne Hathaway,0.0,63.928
Rick Moranis,0.0,10.199
Kevin James,-0.5267,18.296
Simon Pegg,-0.3511333333333333,16.316
Ricky Gervais,-0.5267,27.415
Jack Black,-0.26335,44.747
Errol Flynn,0.0,6.812
Claude Rains,0.0,7.413
Sabu Dastagir,0.0,2.389
Tom Hardy,0.0,116.152
Ewan McGregor,0.0,29.729
James Earl Jones,0.0,29.023
Mandy Patinkin,-0.35633333333333334,10.421
Tim Roth,0.0,15.804
Jet Li,0.0,32.443
Tony Leung Chiu Wai,0.0,16.142
Wesley Snipes,0.0,43.039
Dolph Lundgren,0.0,36.883
Will Arnett,-0.5574,13.147
Jack Davenport,0.20095,5.183
Brittany Murphy,0.0,28.185
Laura San Giacomo,0.0,20.559
Mary Elizabeth Mastrantonio,0.0,11.984
Lil Dagover,0.0,1.159
Garrett Hedlund,0.4404,11.051
Justin Bartha,0.2202,11.644
David Krumholtz,0.4404,12.61
Ashley Tisdale,0.0,19.26
Bette Davis,0.0,13.021
Gloria Swanson,0.0,4.621
Peter Stormare,0.0,28.563
Jude Law,0.0,24.78
Michael Madsen,0.0,15.075
Robert Shaw,0.0,9.049
Javier Bardem,0.0,28.411
Cillian Murphy,0.0,67.82
Chris Bauer,0.0,9.993
Ronald Lacey,0.0,8.127
Everett McGill,0.0,5.102
Vinnie Jones,0.0,17.809
Kevin Gage,0.0,3.401
Jack Palance,0.0,11.603
Henry Fonda,0.0,17.907
Christopher Lee,-0.6597,24.552
Benicio del Toro,-0.6597,34.102
Paul Newman,0.0,22.761
Robert Redford,0.0,17.561
William Petersen,0.0,9.454
Owen Wilson,0.0,25.72
Ricardo Montalbán,-0.5267,9.911
Lee Van Cleef,-0.5267,16.44
Guy Pearce,-0.5267,15.935
Arnold Schwarzenegger,-0.5267,41.357
Keanu Reeves,0.13396666666666665,106.445
Ben Stiller,0.4019,29.957
Joseph Fiennes,0.4019,13.859
John Howard,0.0,1.571
Steve Guttenberg,0.0,13.929
Sean Astin,0.0,24.219
Kal Penn,0.0,11.407
Bill Murray,0.0,29.168
Jason Mewes,0.0,4.255
Alex Winter,0.0,6.846
Sean Penn,0.0,18.413
Josh Peck,0.0,15.97
John Cho,0.0,6.951
Danny McBride,0.0,10.733
James Franco,0.0,25.443
Fran Kranz,0.0,8.229
David Wenham,0.0,15.765
Rachel Hurd-Wood,0.0,12.482
Lennie James,-0.5267,7.82
Robbie Gee,-0.5267,3.003
Ade,-0.5267,0.869
William H. Macy,-0.5267,20.897
John Travolta,-0.5267,24.465
Jon Heder,0.0,15.828
Pauly Shore,0.0,7.809
Sam Bottoms,0.0,4.587
John Larch,0.0,4.162
Jason Robards,0.0,9.711
Brandon Lee,-0.5423,11.016
Dustin Hoffman,-0.5423,18.829
Ryan Gosling,-0.5423,57.939
Tom Waits,-0.2263,6.29
Deborah Foreman,0.0,6.021
Reese Witherspoon,0.0,68.327
Busy Philipps,0.0,6.76
Marlon Brando,0.0,25.178
Mickey Rourke,0.0,30.614
Peter O'Toole,0.0,9.4
Jim Carrey,0.0,53.507
Horst Buchholz,-0.34,8.236
Bill Paxton,-0.34,15.721
Ricky Nelson,-0.34,4.438
Shane West,-0.34,8.578
Emilio Estevez,-0.34,20.03
Kevin Costner,-0.34,59.031
