actor,sentiment,popularity
Robin Williams,0.0,34.64
Michael McShane,0.0,3.112
Ian McKellen,0.0,29.832
Edmund Gwenn,0.0,2.817
James Spader,0.0,26.334
Harrison Ford,0.13776249999999998,75.477
Rachel Weisz,0.296,65.133
Shih Kien,-0.4939,0.001
William Zabka,-0.41695000000000004,20.688
Zhang Ziyi,-0.4939,13.759
Chia Hui Liu,-0.4939,14.2
Carl Weathers,-0.4939,10.913
Mr. T,-0.4939,10.424
Lee Byung-Hun,-0.4939,12.41
Clancy Brown,-0.4939,50.075
Hayden Christensen,0.03175,46.014
Jeremy Jordan,0.0,2.125
Jesse Metcalfe,0.0,8.425
Kevin Zegers,0.0,14.844
Ryan Reynolds,0.0,75.24
Chris Klein,0.29295,11.091
Zac Efron,0.0,56.815
Peter Facinelli,-0.17,14.798
Clint Eastwood,-0.181,52.676
John Hurt,0.0,20.137
The Rock,0.0,0.001
"Randall ""Tex"" Cobb",0.0,7.972
Robert De Niro,-0.2000333333333333,46.66
Gerard Butler,0.0,36.625
Nick Chinlund,0.0,9.055
Rutger Hauer,0.0,35.844
Alexis Dziena,0.5859,4.872
Ivan Sergei,0.5859,8.888
Anna Faris,-0.23647500000000005,29.07
Elizabeth Hurley,0.5859,23.773
Desi Lydic,0.03764999999999996,8.906
Christine Taylor,0.5859,14.555
Rick Rossovich,0.5859,2.934
Kristy Swanson,0.29295,14.882
Dustin Milligan,0.5859,18.897
James Marsden,0.46323333333333333,20.026
Cameron Diaz,0.1953,23.747
Daryl Hannah,-0.4767,19.244
Johnny Depp,0.049175,69.811
Kirsten Dunst,-0.23835,28.501
Margarita Levieva,-0.4767,5.299
Natalie Portman,-0.4767,49.207
Jeff Anderson,0.0,1.985
Jason Lee,0.0,10.676
Nick Frost,0.0,10.572
Ron Perlman,0.0,28.574
Bruce Boxleitner,0.0,13.341
Daniel Craig,0.02702,36.43
Thomas F. Wilson,-0.41695000000000004,12.158
Zack Ward,-0.4939,14.264
Teresa Palmer,-0.4939,46.374
John Cusack,0.19603333333333336,23.31
Leonardo DiCaprio,0.15703333333333336,67.423
Brad Pitt,0.16555,63.362
Seth Rogen,0.13935,31.074
Jake Gyllenhaal,0.5574,58.65
Hugh Jackman,0.13476666666666667,53.389
Robert Downey Jr.,0.1858,67.914
Tom Hiddleston,0.11036666666666667,24.933
Ralph Fiennes,0.2787,32.1
Daniel Day-Lewis,0.5574,12.933
Heath Ledger,0.0,29.505
Leo Fitzpatrick,0.0,4.32
Stuart Townsend,-0.07655,6.367
Craig Bierko,0.0,7.202
Daniel Gillies,0.0,18.437
Kathleen Turner,0.0,17.581
Michelle Pfeiffer,0.0,30.626
Marilyn Monroe,-0.2553,9.372
Isabella Rossellini,0.0,22.056
Diane Lane,0.0,32.925
Matthew Broderick,0.2202,19.87
Zachary Levi,0.4404,20.805
Anthony Hopkins,0.14365,37.301
Jake Lloyd,0.0,3.909
Val Kilmer,0.0,16.9
Brigitte Auber,0.4404,3.182
Jason Statham,0.0,115.331
Hugo Weaving,0.0,16.859
Clive Owen,0.0,13.759
Ronny Cox,0.0,13.096
Tom Hollander,0.0,18.05
Christopher Walken,0.0,31.242
Paul Reiser,-0.2294,10.37
John Huston,0.0,5.807
Julian McMahon,0.0,15.126
Michael Clarke Duncan,0.0,14.896
Christopher Lloyd,0.0,33.248
Dan O'Herlihy,0.0,3.906
Jeffrey Tambor,0.0,9.682
Lionel Barrymore,-0.2787,4.811
Roger Allam,0.0,8.37
John Lithgow,0.0,20.615
Tom Cruise,-0.18076666666666666,89.898
David Murray,0.0,0.001
David Warner,0.0,20.853
David Cross,0.0,10.287
Danny Huston,-0.05103333333333334,16.584
Bruce Campbell,0.0,18.173
Tim Robbins,-0.17,18.081
Ritchie Coster,0.0,12.5
Greg Kinnear,0.0,10.682
Kevin J. O'Connor,-0.4588,8.355
Wayne Morris,-0.4588,1.623
Stephen Lang,-0.4588,18.201
Jeremy Davies,-0.4588,24.62
Rex Harrison,-0.6597,6.16
Laurence Olivier,-0.6597,9.323
Sam Neill,-0.6597,23.439
Jeremy Irons,-0.6597,19.122
Kevin Kline,-0.21989999999999998,18.253
Tim Curry,-0.6597,35.255
Mark Wahlberg,-0.6597,60.668
Russell Crowe,-0.19994,46.316
Al Pacino,-0.5500499999999999,47.186
Patrick Bergin,-0.6597,5.993
Joe Pesci,-0.6597,18.324
Peter Sarsgaard,-0.6597,12.314
Nick Nolte,-0.6597,14.697
Richard Roxburgh,-0.6597,11.266
David Carradine,-0.4564333333333333,10.397
Fred Savage,-0.6597,14.267
Glenn Ford,-0.6597,10.696
Takashi Matsuyama,-0.6597,0.479
Frank Whaley,-0.6597,13.385
Oscar Isaac,-0.6597,33.656
Ray Milland,-0.6597,9.738
Michael Douglas,-0.6597,18.86
Colin Firth,-0.6597,19.722
Denzel Washington,-0.2601333333333333,72.057
John Malkovich,-0.34,18.172
Viggo Mortensen,-0.23683333333333334,28.97
Forest Whitaker,-0.07655,16.221
Angus Macfadyen,-0.1531,10.314
Paul Gleason,0.0,10.37
Jeffrey Jones,0.0,13.496
Norman Lloyd,0.0,3.626
Larry Miller,0.0,11.597
Richard Gere,-0.4404,37.542
Matt Damon,-0.2202,62.89
Orson Welles,-0.4404,13.219
Samuel L. Jackson,-0.4404,59.088
Harvey Keitel,-0.4404,24.91
Alicia Silverstone,0.0,20.457
Rowan Atkinson,0.0,26.306
Russell Brand,0.0,12.951
Jesse Eisenberg,0.0,18.95
Adam Sandler,0.0,50.96
Crispin Glover,0.0,11.725
Jeff Daniels,0.0,8.578
Paige O'Hara,0.0,2.354
Ed Helms,0.0,12.985
R. Lee Ermey,-0.5574,11.164
Warren Oates,-0.5574,3.904
Tom Berenger,-0.2787,20.159
Lee Marvin,-0.5574,10.546
Jean Harlow,-0.5106,1.594
Mira Sorvino,-0.17020000000000002,18.731
Lisa Kudrow,-0.2553,18.083
Nicole Kidman,-0.5106,64.809
Peter Hinwood,-0.5106,1.667
Jean Hagen,-0.2553,3.106
Jonathan Winters,-0.5106,4.148
Alex Karras,-0.5106,4.588
André the Giant,-0.5106,4.851
Billy Bob Thornton,-0.5106,19.989
Billie Whitelaw,0.0,4.316
Pat Morita,0.0,11.533
Frank Oz,0.0,19.013
Patricia Hayes,0.0,5.443
Brian Blessed,0.0,7.143
Richard White,-0.17,0.207
Christopher Plummer,0.0,10.504
Kevin Peter Hall,0.0,5.373
Peter Cullen,0.0,13.884
Junjie Qin,-0.6597,4.364
Rufus Sewell,-0.6597,50.719
Joaquin Phoenix,-0.6597,52.689
Aidan Gillen,-0.6597,24.247
Luke Goss,-0.6597,8.836
Ben Kingsley,-0.32985,20.545
Trevor Thomas,-0.6597,0.001
Chris Sarandon,-0.6597,13.084
Gene Wilder,-0.34,7.387
Mel Gibson,-0.5248,59.952
Martin Short,-0.34,17.184
Charles Bronson,-0.43335,17.238
Tom Hanks,-0.34,79.536
Peter Weller,-0.34,22.618
Liam Neeson,0.0,66.228
John Wayne,0.0,21.579
Martin Sheen,0.0,22.212
Günter Lamprecht,0.0,1.113
Naseeruddin Shah,0.0,11.551
Elias Koteas,0.0,13.375
Ken Watanabe,0.0,1.061
Bruce Greenwood,0.0,16.048
Nicholas Bell,0.0,1.322
John Lynch,0.0,7.061
Christopher Eccleston,0.0,10.312
Heather Langenkamp,0.0,11.104
Neve Campbell,0.0,41.491
Sigourney Weaver,0.0,37.971
Linda Hamilton,0.0,13.474
Jamie Lee Curtis,0.0,19.031
Amanda Righetti,0.0,14.609
Kenneth Branagh,0.0,23.23
Tom Selleck,0.0,34.133
Stephen Chow,0.0,18.11
Morgan Freeman,0.0,76.242
Cary Grant,-0.17556666666666665,10.506
David Niven,-0.5267,12.525
Tony Curran,-0.26335,8.635
Sophia Bush,0.0,17.75
Michael Caine,0.0,34.338
Omri Katz,0.0,10.807
