Actor,Sentiment Score
Robin Williams,0.0
Michael McShane,0.0
Ian McKellen,0.0
Edmund Gwenn,0.0
James Spader,0.0
Harrison Ford,0.13776249999999998
Rachel Weisz,0.296
Shih Kien,-0.4939
William Zabka,-0.41695000000000004
Zhang Ziyi,-0.4939
Chia Hui Liu,-0.4939
Carl Weathers,-0.4939
Mr. T,-0.4939
Lee Byung-Hun,-0.4939
Clancy Brown,-0.4939
Hayden Christensen,0.03175
Jeremy Jordan,0.0
Jesse Metcalfe,0.0
Kevin Zegers,0.0
Ryan Reynolds,0.0
Chris Klein,0.29295
Zac Efron,0.0
Peter Facinelli,-0.17
Clint Eastwood,-0.181
John Hurt,0.0
The Rock,0.0
"Randall ""Tex"" Cobb",0.0
Robert De Niro,-0.2000333333333333
Gerard Butler,0.0
Nick Chinlund,0.0
Rutger Hauer,0.0
Alexis Dziena,0.5859
Ivan Sergei,0.5859
Anna Faris,-0.23647500000000005
Elizabeth Hurley,0.5859
Desi Lydic,0.03764999999999996
Christine Taylor,0.5859
Rick Rossovich,0.5859
Kristy Swanson,0.29295
Dustin Milligan,0.5859
James Marsden,0.46323333333333333
Cameron Diaz,0.1953
Daryl Hannah,-0.4767
Johnny Depp,0.049175
Kirsten Dunst,-0.23835
Margarita Levieva,-0.4767
Natalie Portman,-0.4767
Jeff Anderson,0.0
Jason Lee,0.0
Nick Frost,0.0
Ron Perlman,0.0
Bruce Boxleitner,0.0
Daniel Craig,0.02702
Thomas F. Wilson,-0.41695000000000004
Zack Ward,-0.4939
Teresa Palmer,-0.4939
John Cusack,0.19603333333333336
Leonardo DiCaprio,0.15703333333333336
Brad Pitt,0.16555
Seth Rogen,0.13935
Jake Gyllenhaal,0.5574
Hugh Jackman,0.13476666666666667
Robert Downey Jr.,0.1858
Tom Hiddleston,0.11036666666666667
Ralph Fiennes,0.2787
Daniel Day-Lewis,0.5574
Heath Ledger,0.0
Leo Fitzpatrick,0.0
Stuart Townsend,-0.07655
Craig Bierko,0.0
Daniel Gillies,0.0
Kathleen Turner,0.0
Michelle Pfeiffer,0.0
Marilyn Monroe,-0.2553
Isabella Rossellini,0.0
Diane Lane,0.0
Matthew Broderick,0.2202
Zachary Levi,0.4404
Anthony Hopkins,0.14365
Jake Lloyd,0.0
Val Kilmer,0.0
Brigitte Auber,0.4404
Jason Statham,0.0
Hugo Weaving,0.0
Clive Owen,0.0
Ronny Cox,0.0
Tom Hollander,0.0
Christopher Walken,0.0
Paul Reiser,-0.2294
John Huston,0.0
Julian McMahon,0.0
Michael Clarke Duncan,0.0
Christopher Lloyd,0.0
Dan O'Herlihy,0.0
Jeffrey Tambor,0.0
Lionel Barrymore,-0.2787
Roger Allam,0.0
John Lithgow,0.0
Tom Cruise,-0.18076666666666666
David Murray,0.0
David Warner,0.0
David Cross,0.0
Danny Huston,-0.05103333333333334
Bruce Campbell,0.0
Tim Robbins,-0.17
Ritchie Coster,0.0
Greg Kinnear,0.0
Kevin J. O'Connor,-0.4588
Wayne Morris,-0.4588
Stephen Lang,-0.4588
Jeremy Davies,-0.4588
Rex Harrison,-0.6597
Laurence Olivier,-0.6597
Sam Neill,-0.6597
Jeremy Irons,-0.6597
Kevin Kline,-0.21989999999999998
Tim Curry,-0.6597
Mark Wahlberg,-0.6597
Russell Crowe,-0.19994
Al Pacino,-0.5500499999999999
Patrick Bergin,-0.6597
Joe Pesci,-0.6597
Peter Sarsgaard,-0.6597
Nick Nolte,-0.6597
Richard Roxburgh,-0.6597
David Carradine,-0.4564333333333333
