Actor,Sentiment Score
Fred Savage,-0.6597
Glenn Ford,-0.6597
Takashi Matsuyama,-0.6597
Frank Whaley,-0.6597
Oscar Isaac,-0.6597
Ray Milland,-0.6597
Michael Douglas,-0.6597
Colin Firth,-0.6597
Denzel Washington,-0.2601333333333333
John Malkovich,-0.34
Viggo Mortensen,-0.23683333333333334
Forest Whitaker,-0.07655
Angus Macfadyen,-0.1531
Paul Gleason,0.0
Jeffrey Jones,0.0
Norman Lloyd,0.0
Larry Miller,0.0
Richard Gere,-0.4404
Matt Damon,-0.2202
Orson Welles,-0.4404
Samuel L. Jackson,-0.4404
Harvey Keitel,-0.4404
Alicia Silverstone,0.0
Rowan Atkinson,0.0
Russell Brand,0.0
Jesse Eisenberg,0.0
Adam Sandler,0.0
Crispin Glover,0.0
Jeff Daniels,0.0
Paige O'Hara,0.0
Ed Helms,0.0
R. Lee Ermey,-0.5574
Warren Oates,-0.5574
Tom Berenger,-0.2787
Lee Marvin,-0.5574
Jean Harlow,-0.5106
Mira Sorvino,-0.17020000000000002
Lisa Kudrow,-0.2553
Nicole Kidman,-0.5106
Peter Hinwood,-0.5106
Jean Hagen,-0.2553
Jonathan Winters,-0.5106
Alex Karras,-0.5106
André the Giant,-0.5106
Billy Bob Thornton,-0.5106
Billie Whitelaw,0.0
Pat Morita,0.0
Frank Oz,0.0
Patricia Hayes,0.0
Brian Blessed,0.0
Richard White,-0.17
Christopher Plummer,0.0
Kevin Peter Hall,0.0
Peter Cullen,0.0
Junjie Qin,-0.6597
Rufus Sewell,-0.6597
Joaquin Phoenix,-0.6597
Aidan Gillen,-0.6597
Luke Goss,-0.6597
Ben Kingsley,-0.32985
Trevor Thomas,-0.6597
Chris Sarandon,-0.6597
Gene Wilder,-0.34
Mel Gibson,-0.5248
Martin Short,-0.34
Charles Bronson,-0.43335
Tom Hanks,-0.34
Peter Weller,-0.34
Liam Neeson,0.0
John Wayne,0.0
Martin Sheen,0.0
Günter Lamprecht,0.0
Naseeruddin Shah,0.0
Elias Koteas,0.0
Ken Watanabe,0.0
Bruce Greenwood,0.0
Nicholas Bell,0.0
John Lynch,0.0
Christopher Eccleston,0.0
Heather Langenkamp,0.0
Neve Campbell,0.0
Sigourney Weaver,0.0
Linda Hamilton,0.0
Jamie Lee Curtis,0.0
Amanda Righetti,0.0
Kenneth Branagh,0.0
Tom Selleck,0.0
Stephen Chow,0.0
Morgan Freeman,0.0
Cary Grant,-0.17556666666666665
David Niven,-0.5267
Tony Curran,-0.26335
Sophia Bush,0.0
Michael Caine,0.0
Omri Katz,0.0
Maggie Gyllenhaal,0.0
Schuyler Fisk,0.0
Edward Norton,0.0
Jeff Bridges,0.1468
Walter Matthau,0.0
Ed Asner,0.0
Peter Finch,0.0
Ted Knight,0.0
Humphrey Bogart,0.0
Robert Mitchum,0.0
Jack Nicholson,0.0
Bob Hoskins,0.0
Peta Wilson,-0.7096
Woody Harrelson,-0.7096
Christian Bale,-0.6031
Eddie Murphy,0.0
Martin Lawrence,0.0
Bruce Willis,0.0
Ryan O'Neal,0.0
Mike White,0.0
Pierce Brosnan,0.0
Chow Yun-Fat,0.0
Billy Connolly,0.0
James McAvoy,0.0
Eric Christian Olsen,-0.34
Anthony Michael Hall,-0.34
Lance Fenton,-0.34
Milo Ventimiglia,-0.34
Chris Carmack,-0.34
Samantha Morton,0.0
Dakota Fanning,0.0
Anne Hathaway,0.0
Rick Moranis,0.0
Kevin James,-0.5267
Simon Pegg,-0.3511333333333333
Ricky Gervais,-0.5267
Jack Black,-0.26335
Errol Flynn,0.0
Claude Rains,0.0
Sabu Dastagir,0.0
Tom Hardy,0.0
Ewan McGregor,0.0
James Earl Jones,0.0
Mandy Patinkin,-0.35633333333333334
Tim Roth,0.0
Jet Li,0.0
Tony Leung Chiu Wai,0.0
Wesley Snipes,0.0
Dolph Lundgren,0.0
Will Arnett,-0.5574
Jack Davenport,0.20095
Brittany Murphy,0.0
Laura San Giacomo,0.0
Mary Elizabeth Mastrantonio,0.0
Lil Dagover,0.0
Garrett Hedlund,0.4404
Justin Bartha,0.2202
David Krumholtz,0.4404
Ashley Tisdale,0.0
Bette Davis,0.0
Gloria Swanson,0.0
Peter Stormare,0.0
Jude Law,0.0
Michael Madsen,0.0
Robert Shaw,0.0
Javier Bardem,0.0
Cillian Murphy,0.0
Chris Bauer,0.0
Ronald Lacey,0.0
Everett McGill,0.0
Vinnie Jones,0.0
Kevin Gage,0.0
Jack Palance,0.0
Henry Fonda,0.0
Christopher Lee,-0.6597
Benicio del Toro,-0.6597
Paul Newman,0.0
Robert Redford,0.0
William Petersen,0.0
Owen Wilson,0.0
Ricardo Montalbán,-0.5267
Lee Van Cleef,-0.5267
Guy Pearce,-0.5267
Arnold Schwarzenegger,-0.5267
Keanu Reeves,0.13396666666666665
Ben Stiller,0.4019
Joseph Fiennes,0.4019
John Howard,0.0
Steve Guttenberg,0.0
Sean Astin,0.0
Kal Penn,0.0
Bill Murray,0.0
Jason Mewes,0.0
Alex Winter,0.0
Sean Penn,0.0
Josh Peck,0.0
John Cho,0.0
Danny McBride,0.0
James Franco,0.0
Fran Kranz,0.0
David Wenham,0.0
Rachel Hurd-Wood,0.0
Lennie James,-0.5267
Robbie Gee,-0.5267
Ade,-0.5267
William H. Macy,-0.5267
John Travolta,-0.5267
Jon Heder,0.0
Pauly Shore,0.0
Sam Bottoms,0.0
John Larch,0.0
Jason Robards,0.0
Brandon Lee,-0.5423
Dustin Hoffman,-0.5423
Ryan Gosling,-0.5423
Tom Waits,-0.2263
Deborah Foreman,0.0
Reese Witherspoon,0.0
Busy Philipps,0.0
Marlon Brando,0.0
Mickey Rourke,0.0
Peter O'Toole,0.0
Jim Carrey,0.0
Horst Buchholz,-0.34
Bill Paxton,-0.34
Ricky Nelson,-0.34
Shane West,-0.34
Emilio Estevez,-0.34
Kevin Costner,-0.34
