actor,sentiment,popularity
Mel Gibson,-0.5248,74.763
Martin Short,-0.34,13.463
Charles Bronson,-0.43335,19.963
Tom Hanks,-0.34,105.302
Peter Weller,-0.34,17.494
Liam Neeson,0.0,78.606
John Wayne,0.0,19.683
Martin Sheen,0.0,13.255
Günter Lamprecht,0.0,1.476
Naseeruddin Shah,0.0,12.681
Elias Koteas,0.0,14.734
Ken Watanabe,0.0,0.913
Bruce Greenwood,0.0,18.548
Nicholas Bell,0.0,2.279
John Lynch,0.0,8.726
Christopher Eccleston,0.0,6.971
Heather Langenkamp,0.0,17.098
Neve Campbell,0.0,46.988
Sigourney Weaver,0.0,41.597
Linda Hamilton,0.0,18.504
Jamie Lee Curtis,0.0,23.008
Amanda Righetti,0.0,8.63
Kenneth Branagh,0.0,35.428
Tom Selleck,0.0,35.868
Stephen Chow,0.0,23.438
Morgan Freeman,0.0,68.713
Cary Grant,-0.17556666666666665,10.731
David Niven,-0.5267,11.188
Tony Curran,-0.26335,7.331
Sophia Bush,0.0,29.088
Michael Caine,0.0,25.953
Omri Katz,0.0,5.692
Maggie Gyllenhaal,0.0,25.852
Schuyler Fisk,0.0,3.482
Edward Norton,0.0,24.46
Jeff Bridges,0.1468,29.905
Walter Matthau,0.0,10.982
Ed Asner,0.0,9.21
Peter Finch,0.0,3.515
Ted Knight,0.0,3.696
Humphrey Bogart,0.0,8.603
Robert Mitchum,0.0,27.275
Jack Nicholson,0.0,21.203
Bob Hoskins,0.0,7.384
Peta Wilson,-0.7096,5.291
Woody Harrelson,-0.7096,20.867
Christian Bale,-0.6031,27.766
Eddie Murphy,0.0,31.035
Martin Lawrence,0.0,36.338
Bruce Willis,0.0,46.312
Ryan O'Neal,0.0,2.951
Mike White,0.0,7.945
Pierce Brosnan,0.0,23.814
Chow Yun-Fat,0.0,16.075
Billy Connolly,0.0,6.218
James McAvoy,0.0,46.222
Eric Christian Olsen,-0.34,8.865
Anthony Michael Hall,-0.34,17.588
Lance Fenton,-0.34,3.371
Milo Ventimiglia,-0.34,39.169
Chris Carmack,-0.34,7.079
Samantha Morton,0.0,12.252
Dakota Fanning,0.0,60.793
Anne Hathaway,0.0,67.195
Rick Moranis,0.0,11.671
Kevin James,-0.5267,14.832
Simon Pegg,-0.3511333333333333,38.051
Ricky Gervais,-0.5267,19.369
Jack Black,-0.26335,51.607
Errol Flynn,0.0,8.563
Claude Rains,0.0,6.527
Sabu Dastagir,0.0,2.968
Tom Hardy,0.0,101.881
Ewan McGregor,0.0,33.99
James Earl Jones,0.0,25.814
Mandy Patinkin,-0.35633333333333334,10.755
Tim Roth,0.0,14.05
Jet Li,0.0,45.386
Tony Leung Chiu Wai,0.0,22.306
Wesley Snipes,0.0,45.657
Dolph Lundgren,0.0,30.976
Will Arnett,-0.5574,12.566
Jack Davenport,0.20095,5.977
Brittany Murphy,0.0,21.592
Laura San Giacomo,0.0,33.162
Mary Elizabeth Mastrantonio,0.0,12.523
Lil Dagover,0.0,2.275
Garrett Hedlund,0.4404,6.56
Justin Bartha,0.2202,8.94
David Krumholtz,0.4404,7.171
Ashley Tisdale,0.0,21.885
Bette Davis,0.0,11.66
Gloria Swanson,0.0,3.462
Peter Stormare,0.0,21.764
Jude Law,0.0,29.309
Michael Madsen,0.0,12.803
Robert Shaw,0.0,8.998
Javier Bardem,0.0,38.04
Cillian Murphy,0.0,76.763
Chris Bauer,0.0,10.456
Ronald Lacey,0.0,5.931
Everett McGill,0.0,5.366
Vinnie Jones,0.0,12.275
Kevin Gage,0.0,2.398
Jack Palance,0.0,8.289
Henry Fonda,0.0,13.945
Christopher Lee,-0.6597,35.466
Benicio del Toro,-0.6597,29.858
Paul Newman,0.0,29.67
Robert Redford,0.0,10.859
William Petersen,0.0,5.48
Owen Wilson,0.0,27.494
Ricardo Montalbán,-0.5267,7.518
Lee Van Cleef,-0.5267,10.232
Guy Pearce,-0.5267,26.742
Arnold Schwarzenegger,-0.5267,40.748
Keanu Reeves,0.13396666666666665,98.519
Ben Stiller,0.4019,26.372
Joseph Fiennes,0.4019,11.701
John Howard,0.0,2.794
Steve Guttenberg,0.0,8.622
Sean Astin,0.0,23.677
Kal Penn,0.0,10.302
Bill Murray,0.0,20.119
Jason Mewes,0.0,5.909
Alex Winter,0.0,5.289
Sean Penn,0.0,17.639
Josh Peck,0.0,8.45
John Cho,0.0,9.515
Danny McBride,0.0,18.817
James Franco,0.0,21.569
Fran Kranz,0.0,6.715
David Wenham,0.0,9.63
Rachel Hurd-Wood,0.0,10.334
Lennie James,-0.5267,20.118
Robbie Gee,-0.5267,4.645
Ade,-0.5267,0.594
William H. Macy,-0.5267,15.202
John Travolta,-0.5267,32.29
Jon Heder,0.0,11.81
Pauly Shore,0.0,11.409
Sam Bottoms,0.0,4.748
John Larch,0.0,2.983
Jason Robards,0.0,13.284
Brandon Lee,-0.5423,9.535
Dustin Hoffman,-0.5423,18.901
Ryan Gosling,-0.5423,64.936
Tom Waits,-0.2263,5.358
Deborah Foreman,0.0,4.738
Reese Witherspoon,0.0,50.096
Busy Philipps,0.0,8.313
Marlon Brando,0.0,17.843
Mickey Rourke,0.0,24.07
Peter O'Toole,0.0,13.405
Jim Carrey,0.0,45.717
Horst Buchholz,-0.34,9.631
Bill Paxton,-0.34,15.189
Ricky Nelson,-0.34,6.361
Shane West,-0.34,10.707
Emilio Estevez,-0.34,23.359
Kevin Costner,-0.34,83.222
